id,Temperature,Humidity,Wind Speed,Precipitation,Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility,Location,target
1,14,73,9.5,82,partly cloudy,1010.82,2,Winter,3.5,inland,Rainy
2,39,96,8.5,71,partly cloudy,1011.43,7,Spring,10,inland,Cloudy
3,30,64,7,16,clear,1018.72,5,Spring,5.5,mountain,Sunny
4,38,83,1.5,82,clear,1026.25,7,Spring,1,coastal,Sunny
5,27,74,17,66,overcast,990.67,1,Winter,2.5,mountain,Rainy
6,32,55,3.5,26,overcast,1010.03,2,Summer,5,inland,Cloudy
7,-2,97,8,86,overcast,990.87,1,Winter,4,inland,Snowy
8,3,85,6,96,partly cloudy,984.46,1,Winter,3.5,inland,Snowy
9,3,83,6,66,overcast,999.44,0,Winter,1,mountain,Snowy
10,28,74,8.5,107,clear,1012.13,8,Winter,7.5,coastal,Sunny
11,35,45,6,86,partly cloudy,879.88,2,Spring,1,mountain,Cloudy
12,38,43,2,16,clear,1029.16,11,Autumn,7.5,inland,Sunny
13,12,59,10.5,25,partly cloudy,1016.08,3,Autumn,5.5,mountain,Cloudy
14,-10,87,15,67,overcast,986.19,0,Winter,1.5,inland,Snowy
15,24,21,3.5,8,clear,1018.88,8,Winter,5.5,coastal,Sunny
16,10,50,6.5,46,partly cloudy,1000.44,2,Summer,8.5,mountain,Cloudy
17,30,27,7,13,partly cloudy,1016.38,5,Spring,7.5,inland,Sunny
18,33,51,0.5,27,overcast,1009.18,3,Autumn,5.5,coastal,Cloudy
19,43,46,0.5,15,clear,1025.8,9,Spring,6,mountain,Sunny
20,13,102,12,72,clear,1012.25,4,Summer,8,inland,Sunny
21,-10,67,8.5,75,overcast,991.53,1,Winter,3,mountain,Snowy
22,-7,88,12.5,98,overcast,980.31,1,Winter,3,inland,Snowy
23,33,36,7.5,18,clear,1014.29,8,Summer,9.5,mountain,Sunny
24,26,73,13.5,29,overcast,1012.02,1,Summer,9,inland,Cloudy
25,38,83,7,101,partly cloudy,1017.94,4,Spring,8.5,mountain,Cloudy
26,4,79,1,85,partly cloudy,982.53,1,Winter,4.5,inland,Snowy
27,17,72,7.5,62,overcast,1010.16,2,Summer,3,mountain,Rainy
28,40,57,4,12,partly cloudy,1020.73,11,Winter,9.5,coastal,Sunny
29,24,61,6.5,3,partly cloudy,1018.15,7,Autumn,5.5,mountain,Sunny
30,30,70,16,54,partly cloudy,1007.75,0,Winter,3,mountain,Rainy
31,28,85,7,97,overcast,991.07,1,Spring,2,coastal,Rainy
32,2,61,16.5,63,overcast,995.74,0,Winter,1,inland,Snowy
33,4,95,2.5,56,overcast,984.63,1,Winter,4.5,inland,Snowy
34,15,97,23,91,overcast,1009.36,13,Winter,2.5,mountain,Rainy
35,29,69,3,15,clear,1012.09,10,Winter,5.5,inland,Sunny
36,35,21,10,6,clear,1026.81,5,Autumn,7.5,coastal,Sunny
37,11,90,25.5,76,partly cloudy,996.17,0,Winter,1,mountain,Rainy
38,2,105,19,109,overcast,991.68,7,Winter,3.5,mountain,Snowy
39,-9,49,1.5,58,partly cloudy,1132.2,8,Spring,16.5,mountain,Snowy
40,27,64,11.5,37,partly cloudy,1017.27,3,Autumn,8,coastal,Cloudy
